label,binidx,vv_pol,vv_pol_nm
C,11,0.838724927392275,0.838724927392275
C,12,0.04472610983658178,0.04472610983658178
C,13,0.03568724374836029,0.03568724374836029
C,14,0.01892521698402662,0.01892521698402662
C,15,2.854049989022735e-05,2.854049989022735e-05
C,16,0.003689921603895974,0.003689921603895974
C,17,0.026075666992255414,0.026075666992255414
C,18,0.028296862144222033,0.028296862144222033
C,19,0.018026820027344827,0.018026820027344827
C,20,0.013100103966578572,0.013100103966578572
C,21,0.00018798399930037896,0.00018798399930037896
C,23,0.0011877201781453003,0.0011877201781453003
C,24,0.003186928110584759,0.003186928110584759
C,25,0.010628803610643642,0.010628803610643642
C,26,0.012427403418388742,0.012427403418388742
C,27,0.010325255217557444,0.010325255217557444
C,28,0.0012390168932535795,0.0012390168932535795
C,29,0.0007840907690902551,0.0007840907690902551
C,31,0.0005762488049738195,0.0005762488049738195
C,33,0.0006847951422575316,0.0006847951422575316
C,34,0.0036600954998201023,0.0036600954998201023
C,35,0.006174728153335305,0.006174728153335305
C,36,0.0028833307634617772,0.0028833307634617772
C,37,0.0004491071447785144,0.0004491071447785144
C,41,2.460259364542262e-07,2.460259364542262e-07
C,42,0.00029645923770953283,0.00029645923770953283
C,43,0.0016741595725786643,0.0016741595725786643
C,44,0.0037733130565496724,0.0037733130565496724
C,45,0.00092092009260161,0.00092092009260161
C,49,0.0236484678736655,0.0236484678736655
Ca,1,36.393793422000954,8.404120217418442e-06
Ca,2,6.818020626670728,0.007205650094615656
Ca,3,3.1473241543000894,0.3522141837911383
Ca,4,0.314308507003513,0.14323501736782793
Ca,5,2.6344545647249134,2.3609787035926386
Ca,6,1.9186460069255076,1.918307373410244
Ca,7,0.18377457824760712,0.18377445396668696
Ca,8,1.5473483116771174,1.5473483116553393
Ca,9,0.2056197511465183,0.2056197511465183
Ca,10,0.9170111454970753,0.9170111454970753
Ca,11,0.005084305724123475,0.005084305724123475
Ca,12,0.716744408804017,0.716744408804017
Ca,13,0.1718738475619742,0.1718738475619742
Ca,14,0.5206057806527167,0.5206057806527167
Ca,15,0.4542178444958744,0.4542178444958744
Ca,16,0.2285067732583722,0.2285067732583722
Ca,17,0.7329048097992515,0.7329048097992515
Ca,18,0.7754255895221771,0.7754255895221771
Ca,19,1.0119238409154785,1.0119238409154785
Ca,25,0.029545124277895022,0.029545124277895022
Ca,34,0.015272391925017947,0.015272391925017947
Ca,40,0.004002145207575299,0.004002145207575299
Ca,42,0.0027455280680677777,0.0027455280680677777
Ca,43,0.00794454938708487,0.00794454938708487
Ca,45,0.0013105696202602853,0.0013105696202602853
Ca,46,0.003218359788836584,0.003218359788836584
Ca,49,0.039459762085020576,0.039459762085020576
CdS,1,0.22094320973711074,5.8122234122678857e-08
CdS,2,0.8524925553791315,0.0012608494282287227
CdS,3,1.2928581522776548,0.08060081183111158
CdS,4,1.3074578612654595,0.6983452481810621
CdS,5,2.270438000024617,2.1934205729462306
CdS,6,5.251210625665396,5.24881255883488
CdS,7,7.603361535330981,7.603358758955531
CdS,8,11.161939707206034,11.161939706777197
CdS,9,7.600118632360818,7.600118632360818
CdS,10,6.7132564301396656,6.7132564301396656
CdS,11,2.306715846397431,2.306715846397431
CdS,12,0.8759652489740275,0.8759652489740275
CdS,13,0.7500651670000504,0.7500651670000504
CdS,14,0.5411455049349947,0.5411455049349947
CdS,15,0.45402483106243596,0.45402483106243596
CdS,16,0.42013228691017485,0.42013228691017485
CdS,17,0.42568414114938635,0.42568414114938635
CdS,18,0.5295742266620325,0.5295742266620325
CdS,19,0.4663983963095505,0.4663983963095505
CdS,20,0.5328384780191094,0.5328384780191094
CdS,21,1.053926015864717,1.053926015864717
CdS,22,0.18075409924619462,0.18075409924619462
CdS,23,0.004356154617986876,0.004356154617986876
CdS,24,0.05399760917578692,0.05399760917578692
CdS,25,0.011171817358346168,0.011171817358346168
CdS,29,0.0009916820743757697,0.0009916820743757697
CdS,30,0.027284725410817102,0.027284725410817102
CdS,31,0.028407671237183702,0.028407671237183702
CdS,32,3.4226294173316214e-06,3.4226294173316214e-06
CdS,33,0.0069182865217305945,0.0069182865217305945
CdS,34,0.002754585021406476,0.002754585021406476
CdS,35,0.011940378757668752,0.011940378757668752
CdS,36,0.015520978352129084,0.015520978352129084
CdS,37,0.00308745870348664,0.00308745870348664
CdS,38,0.009034034956211646,0.009034034956211646
CdS,39,0.017086771201291137,0.017086771201291137
CdS,40,0.016540306474330496,0.016540306474330496
CdS,41,0.005369065506860621,0.005369065506860621
CdS,42,0.01709142635696363,0.01709142635696363
CdS,43,0.012941881730170246,0.012941881730170246
CdS,44,0.019130127488794203,0.019130127488794203
CdS,45,0.03408260624700171,0.03408260624700171
CdS,46,1.8704605854843523e-06,1.8704605854843523e-06
CdS,47,0.007837500577235623,0.007837500577235623
CdS,48,0.0007135017151900953,0.0007135017151900953
CdS,49,0.05256519426313009,0.05256519426313009
CdSe,1,0.25980365978391545,2.0938137961784535e-07
CdSe,2,0.7966793509695465,0.0007352633530258751
CdSe,3,1.8350164589391418,0.12987927649252767
CdSe,4,1.2891596584618603,0.6884833977909844
CdSe,5,3.435446588764913,3.302978948246357
CdSe,6,5.301390597841344,5.298888109834543
CdSe,7,10.408170389196506,10.408166639152125
CdSe,8,10.502869451209556,10.502869450799121
CdSe,9,9.328455421459008,9.328455421459008
CdSe,10,7.976517091518266,7.976517091518266
CdSe,11,1.3827307692789645,1.3827307692789645
CdSe,12,1.2135717257680159,1.2135717257680159
CdSe,13,0.7957479515610248,0.7957479515610248
CdSe,14,0.5679488833184207,0.5679488833184207
CdSe,15,0.597694043102885,0.597694043102885
CdSe,16,0.4622631333585034,0.4622631333585034
CdSe,17,0.5933251841319449,0.5933251841319449
CdSe,18,0.4374863455489797,0.4374863455489797
CdSe,19,0.5431245907682034,0.5431245907682034
CdSe,20,0.5624624169514749,0.5624624169514749
CdSe,21,1.1710171598434518,1.1710171598434518
CdSe,22,0.17352110423560538,0.17352110423560538
CdSe,23,0.013322674361971015,0.013322674361971015
CdSe,24,0.08405259911373747,0.08405259911373747
CdSe,25,0.03110381668438599,0.03110381668438599
CdSe,26,0.000799457964416098,0.000799457964416098
CdSe,27,0.07078720222553019,0.07078720222553019
CdSe,28,9.173305962584008e-05,9.173305962584008e-05
CdSe,29,0.06360957820556047,0.06360957820556047
CdSe,30,7.95302960618643e-05,7.95302960618643e-05
CdSe,31,0.08424296175247271,0.08424296175247271
CdSe,32,0.023360743646146043,0.023360743646146043
CdSe,33,0.033245532437664045,0.033245532437664045
CdSe,34,0.055307744079452735,0.055307744079452735
CdSe,35,0.057529110818782765,0.057529110818782765
CdSe,36,0.13947659396887832,0.13947659396887832
CdSe,37,0.0030868589082398376,0.0030868589082398376
CdSe,38,3.971576023706128e-28,3.971576023706128e-28
CdSe,39,0.012960184832847716,0.012960184832847716
CdSe,41,0.005369109019104107,0.005369109019104107
CdSe,42,0.004354433876389262,0.004354433876389262
CdSe,45,0.003965230614675284,0.003965230614675284
CdSe,47,0.007838159684778124,0.007838159684778124
CdSe,48,0.0007143933737094987,0.0007143933737094987
CdSe,49,0.06179432571559992,0.06179432571559992
CdTe,1,0.4002369850269911,9.202653222529415e-07
CdTe,2,1.0824892147693097,0.0022548132092967688
CdTe,3,1.9761605746523645,0.14283979662179663
CdTe,4,1.6864027305062272,0.8969509092621926
CdTe,5,5.092562524145457,4.84226695983623
