label,scale,method,ene,delta,reldelta,group
BP,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-5.507327555271031,-0.467327555271031,-0.09272372128393472,
BP,1.0,PBE+MBD(scs),-5.54865892864445,-0.5086589286444498,-0.1009243906040575,
BP,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-5.518417416345403,-0.4784174163454029,-0.0949240905447228,
BP,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-5.49673313633759,-0.45673313633758994,-0.0906216540352361,
BP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-5.4811541258461665,-0.4411541258461664,-0.08753058052503301,
BP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-5.487397483216684,-0.44739748321668404,-0.08876934190807223,
BP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-5.4894116363001935,-0.44941163630019343,-0.08916897545638758,
BP,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-5.506408152372917,-0.46640815237291733,-0.09254130007399153,
BP,1.0,PBE,-5.2987241735006085,-0.2587241735006085,-0.051334161408850894,
Ba,1.0,"PBE+MBD(rpa,scs)",-4.1867784552859035,-2.2867784552859036,-1.2035676080452125,
Ba,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-2.4262228705648305,-0.5262228705648306,-0.2769594055604372,
Ba,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-1.9366632012837899,-0.03666320128378997,-0.01929642172831051,
Ba,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-2.055753141994892,-0.1557531419948921,-0.08197533789204847,
Ba,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-1.9884129288487895,-0.0884129288487896,-0.04653312044673137,
Ba,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-1.9843602632279018,-0.08436026322790191,-0.04440013854100101,
Ba,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-2.096087748849084,-0.19608774884908398,-0.10320407834162315,
Ba,1.0,PBE+MBD(scs),,,,
Ba,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
Ba,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-1.9362662698836808,-0.03626626988368087,-0.019087510465095194,
Ba,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-2.0567494081221684,-0.15674940812216853,-0.08249968848535186,
Ba,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-1.988995064109175,-0.08899506410917501,-0.04683950742588159,
Ba,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-1.9853273914968084,-0.08532739149680846,-0.04490915341937288,
Ba,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-2.097350113195784,-0.197350113195784,-0.10386848062936001,
Ba,1.0,PBE,-1.8927842408737843,0.007215759126215637,0.003797767961166125,
C,1.0,"PBE+MBD(rpa,scs)",-7.941004819476801,-0.5710048194768005,-0.07747690901991865,
C,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-7.900417098240244,-0.5304170982402443,-0.07196975552784861,
C,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-7.91558557010139,-0.5455855701013901,-0.07402789282244099,
C,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-7.884227492717672,-0.514227492717672,-0.06977306549764885,
C,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-7.887705763593205,-0.517705763593205,-0.0702450154129179,
C,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-7.8933072307622325,-0.5233072307622324,-0.07100505166380358,
C,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-7.905554173256019,-0.5355541732560187,-0.07266678063175287,
C,1.0,PBE+MBD(scs),-7.941119415183038,-0.5711194151830377,-0.07749245796242031,
C,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",-7.900017792824434,-0.5300177928244336,-0.0719155756885256,
C,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-7.916308534863633,-0.5463085348636332,-0.07412598844825416,
C,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-7.8838214729401,-0.5138214729400996,-0.06971797461873808,
C,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-7.887291653189975,-0.5172916531899752,-0.07018882675576325,
C,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-7.893332977517813,-0.5233329775178133,-0.07100854511774943,
C,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-7.905098458861879,-0.5350984588618788,-0.07260494692834177,
C,1.0,PBE,-7.723781721697022,-0.3537817216970218,-0.04800294731302874,
Ca,1.0,"PBE+MBD(rpa,scs)",-2.8711594142575887,-1.0311594142575886,-0.5604127251399937,
Ca,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-2.3071493688811553,-0.4671493688811552,-0.25388552656584523,
Ca,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-1.9401889186388053,-0.10018891863880519,-0.05445049926022021,
Ca,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-1.966692040237074,-0.12669204023707392,-0.06885436969406192,
Ca,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-1.953975284296656,-0.11397528429665593,-0.06194308929166083,
Ca,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-1.9541830890578258,-0.1141830890578257,-0.062056026661861795,
Ca,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],vdw17)",-2.0021329061538538,-0.16213290615385367,-0.08811570986622481,
Ca,1.0,PBE+MBD(scs),,,,
Ca,1.0,"PBE+MBD(vvpol,corr,beta[0.8],17base)",,,,
Ca,1.0,"PBE+MBD(vvpol[nm],beta[0.8],17base)",-1.940047952108619,-0.10004795210861883,-0.054373887015553714,
Ca,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8])",-1.9665231534319116,-0.12652315343191156,-0.06876258338690845,
Ca,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base)",-1.9538583475810072,-0.1138583475810071,-0.06187953672880821,
Ca,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-1.9540468457541516,-0.11404684575415147,-0.061981981388125794,
Ca,1.0,"PBE+MBD(vvpol[nm],corr,beta[0.8],vdw17)",-2.0018234998577276,-0.16182349985772748,-0.08794755427050406,
Ca,1.0,PBE,-1.9252440195819112,-0.08524401958191108,-0.046328271511908194,
CdS,1.0,"PBE+MBD(rpa,scs)",-2.7989451307822666,-0.018945130782266784,-0.0068147952454197065,
CdS,1.0,"PBE+MBD(rpa,vvpol,corr,beta[0.8],17base)",-2.8627978061544628,-0.08279780615446297,-0.02978338350879963,
CdS,1.0,"PBE+MBD(rpa,vvpol[nm],beta[0.8],17base)",-2.747240857194328,0.032759142805671715,0.011783864318586948,
CdS,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8])",-2.869540886233125,-0.08954088623312506,-0.03220895188241909,
CdS,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base)",-2.8433623423288545,-0.06336234232885474,-0.022792209470811058,
CdS,1.0,"PBE+MBD(rpa,vvpol[nm],corr,beta[0.8],17base,vdw[BG])",-2.816883783390715,-0.03688378339071541,-0.01326754798227173,
